id,type,title,created_at,updated_at
1,Repack,Fitgirl,"2020-04-09 00:49:00","2020-04-09 00:49:00"
2,Repack,CODEX,"2020-04-09 00:49:00","2020-04-16 14:24:50"
3,Repack,CorePack,"2020-04-09 00:49:00","2020-04-09 00:49:00"
4,Repack,Dodi,"2020-04-09 00:49:00","2020-04-09 00:49:00"
5,Repack,Prophet,"2020-04-09 00:49:00","2020-04-09 00:49:00"
6,Repack,SKIDROW,"2020-04-09 00:49:00","2020-05-06 19:06:15"
7,Repack,CPY,"2020-04-09 00:49:00","2020-04-09 00:49:00"
8,Repack,ALI213,"2020-04-09 00:49:00","2020-04-09 00:49:00"
9,Repack,Rev,"2020-04-09 00:49:00","2020-04-09 00:49:00"
10,Repack,"Black Box","2020-04-09 00:49:00","2020-04-09 00:49:00"
11,Repack,KaOS,"2020-04-09 00:49:00","2020-11-27 20:10:24"
12,Repack,Sierra,"2020-04-09 00:49:00","2020-04-09 00:49:00"
13,Repack,GOG,"2020-04-09 00:49:00","2020-04-09 00:49:00"
14,Location,"Barracuda Drive","2020-04-09 00:49:00","2020-04-09 00:49:00"
15,Location,"Toshiba Drive","2020-04-09 00:49:00","2020-04-09 00:49:00"
16,Location,"Backup Drive","2020-04-09 00:49:00","2020-04-09 00:49:00"
17,Location,"WD Green Drive","2020-04-09 00:49:00","2020-04-09 00:49:00"
18,Location,"Ironwolf-1 Drive","2020-04-09 00:49:00","2020-04-09 00:49:00"
19,Location,"Ironwolf-2 Drive","2020-04-09 00:49:00","2020-04-09 00:49:00"
20,Location,"Main Drive","2020-04-09 00:49:00","2020-04-09 00:49:00"
21,Location,"WD Blue Drive","2020-04-09 00:49:00","2020-04-09 00:49:00"
22,Location,"Aorus Drive","2020-04-09 00:49:00","2020-04-09 00:49:00"
23,Location,"Gigabyte Drive","2020-04-09 00:49:00","2020-04-09 00:49:00"
24,Status,Installer,"2020-04-09 00:49:00","2020-04-09 00:49:00"
25,Status,"No Installer","2020-04-09 00:49:00","2020-04-09 00:49:00"
26,Status,Downloaded,"2020-04-09 00:49:00","2020-04-09 00:49:00"
27,Status,Update,"2020-04-09 00:49:00","2020-04-09 00:49:00"
28,Status,Deleted,"2020-04-09 00:49:00","2020-04-09 00:49:00"
29,Genre,FPS,"2020-04-09 00:49:00","2020-04-09 00:49:00"
30,Genre,PC,"2020-04-09 00:49:00","2020-04-09 00:49:00"
31,Genre,Anime,"2020-04-09 00:49:00","2020-04-09 00:49:00"
32,Genre,RTS,"2020-04-09 00:49:00","2020-04-09 00:49:00"
33,Genre,Racing,"2020-04-09 00:49:00","2020-04-09 00:49:00"
34,Genre,Indie,"2020-04-09 00:49:00","2020-04-09 00:49:00"
35,Genre,BR,"2020-04-09 00:49:00","2020-04-09 00:49:00"
36,Genre,Sport,"2020-04-09 00:49:00","2020-04-09 00:49:00"
37,Status,Downloading,"2020-04-22 12:37:55","2020-04-22 12:37:55"
38,Location,,"2020-04-23 16:48:33","2020-04-23 16:48:33"
39,Status,Uncracked,"2020-04-23 16:49:03","2020-04-23 16:49:03"
40,Repack,,"2020-04-23 16:49:16","2020-04-23 16:49:16"
41,Genre,Zombie,"2020-04-23 16:49:48","2020-04-23 16:49:48"
42,Status,Unreleased,"2020-04-23 16:51:34","2020-04-23 16:51:34"
43,Status,Cracked,"2020-05-04 18:31:47","2020-05-04 18:31:47"
44,Genre,Online,"2020-05-06 19:05:34","2020-05-06 19:05:34"
45,Repack,MichealsoftDDS,"2020-05-06 19:05:56","2020-05-06 19:05:56"
46,Repack,Original,"2020-05-06 19:06:02","2020-05-06 19:06:02"
47,Repack,"Garena PH","2020-05-06 19:07:13","2020-05-06 19:07:13"
48,Repack,"Playpark PH","2020-05-06 19:07:21","2020-05-06 19:07:21"
49,Repack,"SEGA JP","2020-05-06 19:07:27","2020-05-06 19:07:27"
50,Repack,KOG,"2020-05-06 19:08:15","2020-05-06 19:08:15"
51,Repack,elamigos,"2020-05-06 19:12:13","2020-05-06 19:12:13"
52,Status,Corrupted,"2020-05-11 03:04:21","2020-05-11 03:04:21"
53,Repack,HOODLUM,"2020-05-11 03:04:57","2020-05-11 03:04:57"
54,Genre,Simulation,"2020-05-12 11:43:03","2020-05-12 11:43:03"
55,Status,Upcomming,"2020-06-05 21:07:58","2020-06-05 21:07:58"
56,Status,,"2020-08-08 00:34:01","2020-09-22 02:34:05"
57,Genre,,"2020-08-08 00:34:17","2020-09-22 02:34:08"
58,Status,Re-Download,"2020-08-28 20:13:37","2020-09-22 02:34:12"
59,Repack,Valve,"2020-08-30 22:23:22","2020-09-22 02:34:15"
60,Status,"Update Fix","2020-10-06 22:50:28","2020-10-06 22:50:28"
63,Location,Transfered,"2020-11-07 23:37:36","2020-11-07 23:37:36"
64,Status,Notice,"2020-11-07 23:47:25","2020-11-07 23:47:25"
